idx,class,conversation
100,일반 대화,"오늘 저녁에 시간 괜찮으면 같이 영화나 볼까?
좋아! 무슨 영화 볼까? 요즘 재밌는 거 많이 개봉했던데.
나는 액션 영화 보고 싶은데, 너는 어때? 싫으면 다른 거 봐도 괜찮아."
101,일반 대화,"이거 혼자 옮기기 힘들텐데, 제가 좀 도와드릴까요?
어머, 괜찮은데. 고맙습니다. 그럼 저쪽까지만 같이 옮겨주시면 정말 감사하겠습니다.
별말씀을요. 이웃끼리 돕고 살아야죠. 다 됐습니다!"
102,일반 대화,"오늘따라 길이 너무 조용하네요. 다들 휴가 갔나 봐요.
그러게요. 덕분에 출근길이 편해서 좋았어요. 매일 오늘만 같았으면 좋겠네요.
맞아요. 왠지 오늘 일도 잘 풀릴 것 같은 기분이에요."
103,일반 대화,"이거 제가 계산할게요. 지난번에 팀장님이 사셨잖아요.
에이, 뭘 이런 걸 다. 그럼 다음엔 김 대리가 사. 잘 먹을게.
네, 맛있게 드세요! 다음엔 제가 더 맛있는 거 사 드릴게요."
104,일반 대화,"요즘 새로 나온 드라마 봤어? 완전 내 스타일이야.
아, 그 배우 나오는 거? 나도 봤지. 연기도 잘하고 너무 멋있어.
그치? 다음 주까지 어떻게 기다리지? 빨리 다음 화 보고 싶다."
105,일반 대화,"이거 어떻게 하는지 알려줄 수 있어? 나 기계치라 잘 몰라서.
그럼요. 이 버튼 누르고, 여기서 원하는 거 선택하시면 돼요. 간단하죠?
아하, 그렇구나. 정말 고맙습니다. 친절하게 알려주셔서 감사해요."
106,일반 대화,"오늘따라 왜 이렇게 졸리지? 커피를 마셔도 잠이 안 깨네.
봄이라서 춘곤증인가 봐요. 점심 드시고 잠깐 산책이라도 하고 오세요. 훨씬 나아질 거예요.
그래야겠어요. 같이 가실래요? 혼자 가면 심심하잖아요."
107,일반 대화,"이 서류 좀 복사해줄 수 있어요? 제가 지금 손이 없어서요.
네, 그럼요. 몇 부 해드릴까요? 금방 해드릴게요.
5부만 부탁드려요. 정말 고마워요. 덕분에 살았어요."
108,일반 대화,"오늘 점심 메뉴가 뭐예요? 너무 배고파요.
오늘은 카레라이스랑 돈까스래요. 완전 맛있겠네요.
와, 대박! 제가 제일 좋아하는 메뉴예요. 빨리 점심시간 되면 좋겠어요."
109,일반 대화,"이거 무게가 꽤 나가는데, 혼자 들 수 있겠어요?
제가 도와드릴게요. 같이 들면 금방 옮길 수 있을 거예요. 하나, 둘, 셋!
감사합니다. 덕분에 쉽게 옮겼네요. 역시 힘이 장사시네요."
110,일반 대화,"오늘 회의는 몇 시에 시작하죠?
오후 3시에 시작합니다. 회의 자료는 미리 메일로 보내드렸으니 확인 부탁드립니다.
네, 알겠습니다. 미리 읽어보고 참석하도록 할게요. 고마워요."
111,일반 대화,"요즘 어떤 책 읽으세요? 재미있는 책 있으면 추천해주세요.
저는 요즘 ‘달러구트 꿈 백화점’이라는 소설 읽고 있어요. 내용이 따뜻하고 힐링 돼서 좋더라고요.
아, 그 책 유명하죠. 저도 한번 읽어봐야겠네요. 추천 감사합니다."
112,일반 대화,"오늘 날씨가 추워서 그런지, 따뜻한 국물이 생각나네요.
그럼 점심은 칼국수 어떠세요? 근처에 새로 생긴 맛집 있는데, 거기 가볼까요?
좋아요! 뜨끈한 국물 먹으면 몸도 풀리고 좋겠네요. 거기로 가시죠."
113,일반 대화,"이거 어떻게 하는지 모르겠는데, 너는 할 줄 알아?
음, 저도 이건 처음 보는데요. 같이 설명서 읽어보면서 해볼까요?
그래, 좋아. 혼자 하는 것보다 둘이 하는 게 훨씬 낫겠다. 고마워."
114,일반 대화,"오늘따라 왜 이렇게 피곤해 보이시네요. 무슨 일 있으세요?
어젯밤에 잠을 좀 설쳤더니 그런가 봐요. 괜찮습니다.
그래도 너무 무리하지 마세요. 피곤하면 일의 능률도 안 오르잖아요. 잠시 쉬었다 하세요."
115,일반 대화,"이거 파일 형식이 달라서 열리지가 않네요. 어떻게 하죠?
제가 변환 프로그램으로 바꿔 드릴게요. 잠깐만요. 자, 이제 열릴 거예요.
와, 정말 감사합니다! 덕분에 살았어요. 역시 전문가 시네요."
116,일반 대화,"오늘 저녁에 시간 괜찮으면 같이 영화나 볼까?
좋아! 무슨 영화 볼까? 요즘 재밌는 거 많이 개봉했던데.
나는 액션 영화 보고 싶은데, 너는 어때? 싫으면 다른 거 봐도 괜찮아."
117,일반 대화,"이거 혼자 옮기기 힘들텐데, 제가 좀 도와드릴까요?
어머, 괜찮은데. 고맙습니다. 그럼 저쪽까지만 같이 옮겨주시면 정말 감사하겠습니다.
별말씀을요. 이웃끼리 돕고 살아야죠. 다 됐습니다!"
118,일반 대화,"오늘따라 길이 너무 조용하네요. 다들 휴가 갔나 봐요.
그러게요. 덕분에 출근길이 편해서 좋았어요. 매일 오늘만 같았으면 좋겠네요.
맞아요. 왠지 오늘 일도 잘 풀릴 것 같은 기분이에요."
119,일반 대화,"이거 제가 계산할게요. 지난번에 팀장님이 사셨잖아요.
에이, 뭘 이런 걸 다. 그럼 다음엔 김 대리가 사. 잘 먹을게.
네, 맛있게 드세요! 다음엔 제가 더 맛있는 거 사 드릴게요."
120,일반 대화,"요즘 새로 나온 드라마 봤어? 완전 내 스타일이야.
아, 그 배우 나오는 거? 나도 봤지. 연기도 잘하고 너무 멋있어.
그치? 다음 주까지 어떻게 기다리지? 빨리 다음 화 보고 싶다."
121,일반 대화,"이거 어떻게 하는지 알려줄 수 있어? 나 기계치라 잘 몰라서.
그럼요. 이 버튼 누르고, 여기서 원하는 거 선택하시면 돼요. 간단하죠?
아하, 그렇구나. 정말 고맙습니다. 친절하게 알려주셔서 감사해요."
122,일반 대화,"오늘따라 왜 이렇게 졸리지? 커피를 마셔도 잠이 안 깨네.
봄이라서 춘곤증인가 봐요. 점심 드시고 잠깐 산책이라도 하고 오세요. 훨씬 나아질 거예요.
그래야겠어요. 같이 가실래요? 혼자 가면 심심하잖아요."
123,일반 대화,"이 서류 좀 복사해줄 수 있어요? 제가 지금 손이 없어서요.
네, 그럼요. 몇 부 해드릴까요? 금방 해드릴게요.
5부만 부탁드려요. 정말 고마워요. 덕분에 살았어요."
124,일반 대화,"오늘 점심 메뉴가 뭐예요? 너무 배고파요.
오늘은 카레라이스랑 돈까스래요. 완전 맛있겠네요.
와, 대박! 제가 제일 좋아하는 메뉴예요. 빨리 점심시간 되면 좋겠어요."
125,일반 대화,"이거 무게가 꽤 나가는데, 혼자 들 수 있겠어요?
제가 도와드릴게요. 같이 들면 금방 옮길 수 있을 거예요. 하나, 둘, 셋!
감사합니다. 덕분에 쉽게 옮겼네요. 역시 힘이 장사시네요."
126,일반 대화,"오늘 회의는 몇 시에 시작하죠?
오후 3시에 시작합니다. 회의 자료는 미리 메일로 보내드렸으니 확인 부탁드립니다.
네, 알겠습니다. 미리 읽어보고 참석하도록 할게요. 고마워요."
127,일반 대화,"요즘 어떤 책 읽으세요? 재미있는 책 있으면 추천해주세요.
저는 요즘 ‘달러구트 꿈 백화점’이라는 소설 읽고 있어요. 내용이 따뜻하고 힐링 돼서 좋더라고요.
아, 그 책 유명하죠. 저도 한번 읽어봐야겠네요. 추천 감사합니다."
128,일반 대화,"오늘 날씨가 추워서 그런지, 따뜻한 국물이 생각나네요.
그럼 점심은 칼국수 어떠세요? 근처에 새로 생긴 맛집 있는데, 거기 가볼까요?
좋아요! 뜨끈한 국물 먹으면 몸도 풀리고 좋겠네요. 거기로 가시죠."
129,일반 대화,"이거 어떻게 하는지 모르겠는데, 너는 할 줄 알아?
음, 저도 이건 처음 보는데요. 같이 설명서 읽어보면서 해볼까요?
그래, 좋아. 혼자 하는 것보다 둘이 하는 게 훨씬 낫겠다. 고마워."
130,일반 대화,"오늘따라 왜 이렇게 피곤해 보이시네요. 무슨 일 있으세요?
어젯밤에 잠을 좀 설쳤더니 그런가 봐요. 괜찮습니다.
그래도 너무 무리하지 마세요. 피곤하면 일의 능률도 안 오르잖아요. 잠시 쉬었다 하세요."
131,일반 대화,"이거 파일 형식이 달라서 열리지가 않네요. 어떻게 하죠?
제가 변환 프로그램으로 바꿔 드릴게요. 잠깐만요. 자, 이제 열릴 거예요.
와, 정말 감사합니다! 덕분에 살았어요. 역시 전문가 시네요."
132,일반 대화,"오늘 저녁에 시간 괜찮으면 같이 영화나 볼까?
좋아! 무슨 영화 볼까? 요즘 재밌는 거 많이 개봉했던데.
나는 액션 영화 보고 싶은데, 너는 어때? 싫으면 다른 거 봐도 괜찮아."
133,일반 대화,"이거 혼자 옮기기 힘들텐데, 제가 좀 도와드릴까요?
어머, 괜찮은데. 고맙습니다. 그럼 저쪽까지만 같이 옮겨주시면 정말 감사하겠습니다.
별말씀을요. 이웃끼리 돕고 살아야죠. 다 됐습니다!"
134,일반 대화,"오늘따라 길이 너무 조용하네요. 다들 휴가 갔나 봐요.
그러게요. 덕분에 출근길이 편해서 좋았어요. 매일 오늘만 같았으면 좋겠네요.
맞아요. 왠지 오늘 일도 잘 풀릴 것 같은 기분이에요."
135,일반 대화,"이거 제가 계산할게요. 지난번에 팀장님이 사셨잖아요.
에이, 뭘 이런 걸 다. 그럼 다음엔 김 대리가 사. 잘 먹을게.
네, 맛있게 드세요! 다음엔 제가 더 맛있는 거 사 드릴게요."
136,일반 대화,"요즘 새로 나온 드라마 봤어? 완전 내 스타일이야.
아, 그 배우 나오는 거? 나도 봤지. 연기도 잘하고 너무 멋있어.
그치? 다음 주까지 어떻게 기다리지? 빨리 다음 화 보고 싶다."
137,일반 대화,"이거 어떻게 하는지 알려줄 수 있어? 나 기계치라 잘 몰라서.
그럼요. 이 버튼 누르고, 여기서 원하는 거 선택하시면 돼요. 간단하죠?
아하, 그렇구나. 정말 고맙습니다. 친절하게 알려주셔서 감사해요."
138,일반 대화,"오늘따라 왜 이렇게 졸리지? 커피를 마셔도 잠이 안 깨네.
봄이라서 춘곤증인가 봐요. 점심 드시고 잠깐 산책이라도 하고 오세요. 훨씬 나아질 거예요.
그래야겠어요. 같이 가실래요? 혼자 가면 심심하잖아요."
139,일반 대화,"이 서류 좀 복사해줄 수 있어요? 제가 지금 손이 없어서요.
네, 그럼요. 몇 부 해드릴까요? 금방 해드릴게요.
5부만 부탁드려요. 정말 고마워요. 덕분에 살았어요."
140,일반 대화,"오늘 점심 메뉴가 뭐예요? 너무 배고파요.
오늘은 카레라이스랑 돈까스래요. 완전 맛있겠네요.
와, 대박! 제가 제일 좋아하는 메뉴예요. 빨리 점심시간 되면 좋겠어요."
141,일반 대화,"이거 무게가 꽤 나가는데, 혼자 들 수 있겠어요?
제가 도와드릴게요. 같이 들면 금방 옮길 수 있을 거예요. 하나, 둘, 셋!
감사합니다. 덕분에 쉽게 옮겼네요. 역시 힘이 장사시네요."
142,일반 대화,"오늘 회의는 몇 시에 시작하죠?
오후 3시에 시작합니다. 회의 자료는 미리 메일로 보내드렸으니 확인 부탁드립니다.
네, 알겠습니다. 미리 읽어보고 참석하도록 할게요. 고마워요."
143,일반 대화,"요즘 어떤 책 읽으세요? 재미있는 책 있으면 추천해주세요.
저는 요즘 ‘달러구트 꿈 백화점’이라는 소설 읽고 있어요. 내용이 따뜻하고 힐링 돼서 좋더라고요.
아, 그 책 유명하죠. 저도 한번 읽어봐야겠네요. 추천 감사합니다."
144,일반 대화,"오늘 날씨가 추워서 그런지, 따뜻한 국물이 생각나네요.
그럼 점심은 칼국수 어떠세요? 근처에 새로 생긴 맛집 있는데, 거기 가볼까요?
좋아요! 뜨끈한 국물 먹으면 몸도 풀리고 좋겠네요. 거기로 가시죠."
145,일반 대화,"이거 어떻게 하는지 모르겠는데, 너는 할 줄 알아?
음, 저도 이건 처음 보는데요. 같이 설명서 읽어보면서 해볼까요?
그래, 좋아. 혼자 하는 것보다 둘이 하는 게 훨씬 낫겠다. 고마워."
146,일반 대화,"오늘따라 왜 이렇게 피곤해 보이시네요. 무슨 일 있으세요?
어젯밤에 잠을 좀 설쳤더니 그런가 봐요. 괜찮습니다.
그래도 너무 무리하지 마세요. 피곤하면 일의 능률도 안 오르잖아요. 잠시 쉬었다 하세요."
147,일반 대화,"이거 파일 형식이 달라서 열리지가 않네요. 어떻게 하죠?
제가 변환 프로그램으로 바꿔 드릴게요. 잠깐만요. 자, 이제 열릴 거예요.
와, 정말 감사합니다! 덕분에 살았어요. 역시 전문가 시네요."
148,일반 대화,"오늘 저녁에 시간 괜찮으면 같이 영화나 볼까?
좋아! 무슨 영화 볼까? 요즘 재밌는 거 많이 개봉했던데.
나는 액션 영화 보고 싶은데, 너는 어때? 싫으면 다른 거 봐도 괜찮아."
149,일반 대화,"이거 혼자 옮기기 힘들텐데, 제가 좀 도와드릴까요?
어머, 괜찮은데. 고맙습니다. 그럼 저쪽까지만 같이 옮겨주시면 정말 감사하겠습니다.
별말씀을요. 이웃끼리 돕고 살아야죠. 다 됐습니다!"
150,일반 대화,"오늘따라 길이 너무 조용하네요. 다들 휴가 갔나 봐요.
그러게요. 덕분에 출근길이 편해서 좋았어요. 매일 오늘만 같았으면 좋겠네요.
맞아요. 왠지 오늘 일도 잘 풀릴 것 같은 기분이에요."
151,일반 대화,"이거 제가 계산할게요. 지난번에 팀장님이 사셨잖아요.
에이, 뭘 이런 걸 다. 그럼 다음엔 김 대리가 사. 잘 먹을게.
네, 맛있게 드세요! 다음엔 제가 더 맛있는 거 사 드릴게요."
152,일반 대화,"요즘 새로 나온 드라마 봤어? 완전 내 스타일이야.
아, 그 배우 나오는 거? 나도 봤지. 연기도 잘하고 너무 멋있어.
그치? 다음 주까지 어떻게 기다리지? 빨리 다음 화 보고 싶다."
153,일반 대화,"이거 어떻게 하는지 알려줄 수 있어? 나 기계치라 잘 몰라서.
그럼요. 이 버튼 누르고, 여기서 원하는 거 선택하시면 돼요. 간단하죠?
아하, 그렇구나. 정말 고맙습니다. 친절하게 알려주셔서 감사해요."
154,일반 대화,"오늘따라 왜 이렇게 졸리지? 커피를 마셔도 잠이 안 깨네.
봄이라서 춘곤증인가 봐요. 점심 드시고 잠깐 산책이라도 하고 오세요. 훨씬 나아질 거예요.
그래야겠어요. 같이 가실래요? 혼자 가면 심심하잖아요."
155,일반 대화,"이 서류 좀 복사해줄 수 있어요? 제가 지금 손이 없어서요.
네, 그럼요. 몇 부 해드릴까요? 금방 해드릴게요.
5부만 부탁드려요. 정말 고마워요. 덕분에 살았어요."
156,일반 대화,"오늘 점심 메뉴가 뭐예요? 너무 배고파요.
오늘은 카레라이스랑 돈까스래요. 완전 맛있겠네요.
와, 대박! 제가 제일 좋아하는 메뉴예요. 빨리 점심시간 되면 좋겠어요."
157,일반 대화,"이거 무게가 꽤 나가는데, 혼자 들 수 있겠어요?
제가 도와드릴게요. 같이 들면 금방 옮길 수 있을 거예요. 하나, 둘, 셋!
감사합니다. 덕분에 쉽게 옮겼네요. 역시 힘이 장사시네요."
158,일반 대화,"오늘 회의는 몇 시에 시작하죠?
오후 3시에 시작합니다. 회의 자료는 미리 메일로 보내드렸으니 확인 부탁드립니다.
네, 알겠습니다. 미리 읽어보고 참석하도록 할게요. 고마워요."
159,일반 대화,"요즘 어떤 책 읽으세요? 재미있는 책 있으면 추천해주세요.
저는 요즘 ‘달러구트 꿈 백화점’이라는 소설 읽고 있어요. 내용이 따뜻하고 힐링 돼서 좋더라고요.
아, 그 책 유명하죠. 저도 한번 읽어봐야겠네요. 추천 감사합니다."
160,일반 대화,"오늘 날씨가 추워서 그런지, 따뜻한 국물이 생각나네요.
그럼 점심은 칼국수 어떠세요? 근처에 새로 생긴 맛집 있는데, 거기 가볼까요?
좋아요! 뜨끈한 국물 먹으면 몸도 풀리고 좋겠네요. 거기로 가시죠."
161,일반 대화,"이거 어떻게 하는지 모르겠는데, 너는 할 줄 알아?
음, 저도 이건 처음 보는데요. 같이 설명서 읽어보면서 해볼까요?
그래, 좋아. 혼자 하는 것보다 둘이 하는 게 훨씬 낫겠다. 고마워."
162,일반 대화,"오늘따라 왜 이렇게 피곤해 보이시네요. 무슨 일 있으세요?
어젯밤에 잠을 좀 설쳤더니 그런가 봐요. 괜찮습니다.
그래도 너무 무리하지 마세요. 피곤하면 일의 능률도 안 오르잖아요. 잠시 쉬었다 하세요."
163,일반 대화,"이거 파일 형식이 달라서 열리지가 않네요. 어떻게 하죠?
제가 변환 프로그램으로 바꿔 드릴게요. 잠깐만요. 자, 이제 열릴 거예요.
와, 정말 감사합니다! 덕분에 살았어요. 역시 전문가 시네요."
164,일반 대화,"오늘 저녁에 시간 괜찮으면 같이 영화나 볼까?
좋아! 무슨 영화 볼까? 요즘 재밌는 거 많이 개봉했던데.
나는 액션 영화 보고 싶은데, 너는 어때? 싫으면 다른 거 봐도 괜찮아."
165,일반 대화,"이거 혼자 옮기기 힘들텐데, 제가 좀 도와드릴까요?
어머, 괜찮은데. 고맙습니다. 그럼 저쪽까지만 같이 옮겨주시면 정말 감사하겠습니다.
별말씀을요. 이웃끼리 돕고 살아야죠. 다 됐습니다!"
166,일반 대화,"오늘따라 길이 너무 조용하네요. 다들 휴가 갔나 봐요.
그러게요. 덕분에 출근길이 편해서 좋았어요. 매일 오늘만 같았으면 좋겠네요.
맞아요. 왠지 오늘 일도 잘 풀릴 것 같은 기분이에요."
167,일반 대화,"이거 제가 계산할게요. 지난번에 팀장님이 사셨잖아요.
에이, 뭘 이런 걸 다. 그럼 다음엔 김 대리가 사. 잘 먹을게.
네, 맛있게 드세요! 다음엔 제가 더 맛있는 거 사 드릴게요."
168,일반 대화,"요즘 새로 나온 드라마 봤어? 완전 내 스타일이야.
아, 그 배우 나오는 거? 나도 봤지. 연기도 잘하고 너무 멋있어.
그치? 다음 주까지 어떻게 기다리지? 빨리 다음 화 보고 싶다."
169,일반 대화,"이거 어떻게 하는지 알려줄 수 있어? 나 기계치라 잘 몰라서.
그럼요. 이 버튼 누르고, 여기서 원하는 거 선택하시면 돼요. 간단하죠?
아하, 그렇구나. 정말 고맙습니다. 친절하게 알려주셔서 감사해요."
170,일반 대화,"오늘따라 왜 이렇게 졸리지? 커피를 마셔도 잠이 안 깨네.
봄이라서 춘곤증인가 봐요. 점심 드시고 잠깐 산책이라도 하고 오세요. 훨씬 나아질 거예요.
그래야겠어요. 같이 가실래요? 혼자 가면 심심하잖아요."
171,일반 대화,"이 서류 좀 복사해줄 수 있어요? 제가 지금 손이 없어서요.
네, 그럼요. 몇 부 해드릴까요? 금방 해드릴게요.
5부만 부탁드려요. 정말 고마워요. 덕분에 살았어요."
172,일반 대화,"오늘 점심 메뉴가 뭐예요? 너무 배고파요.
오늘은 카레라이스랑 돈까스래요. 완전 맛있겠네요.
와, 대박! 제가 제일 좋아하는 메뉴예요. 빨리 점심시간 되면 좋겠어요."
173,일반 대화,"이거 무게가 꽤 나가는데, 혼자 들 수 있겠어요?
제가 도와드릴게요. 같이 들면 금방 옮길 수 있을 거예요. 하나, 둘, 셋!
감사합니다. 덕분에 쉽게 옮겼네요. 역시 힘이 장사시네요."
174,일반 대화,"오늘 회의는 몇 시에 시작하죠?
오후 3시에 시작합니다. 회의 자료는 미리 메일로 보내드렸으니 확인 부탁드립니다.
네, 알겠습니다. 미리 읽어보고 참석하도록 할게요. 고마워요."
175,일반 대화,"요즘 어떤 책 읽으세요? 재미있는 책 있으면 추천해주세요.
저는 요즘 ‘달러구트 꿈 백화점’이라는 소설 읽고 있어요. 내용이 따뜻하고 힐링 돼서 좋더라고요.
아, 그 책 유명하죠. 저도 한번 읽어봐야겠네요. 추천 감사합니다."
176,일반 대화,"오늘 날씨가 추워서 그런지, 따뜻한 국물이 생각나네요.
그럼 점심은 칼국수 어떠세요? 근처에 새로 생긴 맛집 있는데, 거기 가볼까요?
좋아요! 뜨끈한 국물 먹으면 몸도 풀리고 좋겠네요. 거기로 가시죠."
177,일반 대화,"이거 어떻게 하는지 모르겠는데, 너는 할 줄 알아?
음, 저도 이건 처음 보는데요. 같이 설명서 읽어보면서 해볼까요?
그래, 좋아. 혼자 하는 것보다 둘이 하는 게 훨씬 낫겠다. 고마워."
178,일반 대화,"오늘따라 왜 이렇게 피곤해 보이시네요. 무슨 일 있으세요?
어젯밤에 잠을 좀 설쳤더니 그런가 봐요. 괜찮습니다.
그래도 너무 무리하지 마세요. 피곤하면 일의 능률도 안 오르잖아요. 잠시 쉬었다 하세요."
179,일반 대화,"이거 파일 형식이 달라서 열리지가 않네요. 어떻게 하죠?
제가 변환 프로그램으로 바꿔 드릴게요. 잠깐만요. 자, 이제 열릴 거예요.
와, 정말 감사합니다! 덕분에 살았어요. 역시 전문가 시네요."
180,일반 대화,"오늘 저녁에 시간 괜찮으면 같이 영화나 볼까?
좋아! 무슨 영화 볼까? 요즘 재밌는 거 많이 개봉했던데.
나는 액션 영화 보고 싶은데, 너는 어때? 싫으면 다른 거 봐도 괜찮아."
181,일반 대화,"이거 혼자 옮기기 힘들텐데, 제가 좀 도와드릴까요?
어머, 괜찮은데. 고맙습니다. 그럼 저쪽까지만 같이 옮겨주시면 정말 감사하겠습니다.
별말씀을요. 이웃끼리 돕고 살아야죠. 다 됐습니다!"
182,일반 대화,"오늘따라 길이 너무 조용하네요. 다들 휴가 갔나 봐요.
그러게요. 덕분에 출근길이 편해서 좋았어요. 매일 오늘만 같았으면 좋겠네요.
맞아요. 왠지 오늘 일도 잘 풀릴 것 같은 기분이에요."
183,일반 대화,"이거 제가 계산할게요. 지난번에 팀장님이 사셨잖아요.
에이, 뭘 이런 걸 다. 그럼 다음엔 김 대리가 사. 잘 먹을게.
네, 맛있게 드세요! 다음엔 제가 더 맛있는 거 사 드릴게요."
184,일반 대화,"요즘 새로 나온 드라마 봤어? 완전 내 스타일이야.
아, 그 배우 나오는 거? 나도 봤지. 연기도 잘하고 너무 멋있어.
그치? 다음 주까지 어떻게 기다리지? 빨리 다음 화 보고 싶다."
185,일반 대화,"이거 어떻게 하는지 알려줄 수 있어? 나 기계치라 잘 몰라서.
그럼요. 이 버튼 누르고, 여기서 원하는 거 선택하시면 돼요. 간단하죠?
아하, 그렇구나. 정말 고맙습니다. 친절하게 알려주셔서 감사해요."
186,일반 대화,"오늘따라 왜 이렇게 졸리지? 커피를 마셔도 잠이 안 깨네.
봄이라서 춘곤증인가 봐요. 점심 드시고 잠깐 산책이라도 하고 오세요. 훨씬 나아질 거예요.
그래야겠어요. 같이 가실래요? 혼자 가면 심심하잖아요."
187,일반 대화,"이 서류 좀 복사해줄 수 있어요? 제가 지금 손이 없어서요.
네, 그럼요. 몇 부 해드릴까요? 금방 해드릴게요.
5부만 부탁드려요. 정말 고마워요. 덕분에 살았어요."
188,일반 대화,"오늘 점심 메뉴가 뭐예요? 너무 배고파요.
오늘은 카레라이스랑 돈까스래요. 완전 맛있겠네요.
와, 대박! 제가 제일 좋아하는 메뉴예요. 빨리 점심시간 되면 좋겠어요."
189,일반 대화,"이거 무게가 꽤 나가는데, 혼자 들 수 있겠어요?
제가 도와드릴게요. 같이 들면 금방 옮길 수 있을 거예요. 하나, 둘, 셋!
감사합니다. 덕분에 쉽게 옮겼네요. 역시 힘이 장사시네요."
190,일반 대화,"오늘 회의는 몇 시에 시작하죠?
오후 3시에 시작합니다. 회의 자료는 미리 메일로 보내드렸으니 확인 부탁드립니다.
네, 알겠습니다. 미리 읽어보고 참석하도록 할게요. 고마워요."
191,일반 대화,"요즘 어떤 책 읽으세요? 재미있는 책 있으면 추천해주세요.
저는 요즘 ‘달러구트 꿈 백화점’이라는 소설 읽고 있어요. 내용이 따뜻하고 힐링 돼서 좋더라고요.
아, 그 책 유명하죠. 저도 한번 읽어봐야겠네요. 추천 감사합니다."
192,일반 대화,"오늘 날씨가 추워서 그런지, 따뜻한 국물이 생각나네요.
그럼 점심은 칼국수 어떠세요? 근처에 새로 생긴 맛집 있는데, 거기 가볼까요?
좋아요! 뜨끈한 국물 먹으면 몸도 풀리고 좋겠네요. 거기로 가시죠."
193,일반 대화,"이거 어떻게 하는지 모르겠는데, 너는 할 줄 알아?
음, 저도 이건 처음 보는데요. 같이 설명서 읽어보면서 해볼까요?
그래, 좋아. 혼자 하는 것보다 둘이 하는 게 훨씬 낫겠다. 고마워."
194,일반 대화,"오늘따라 왜 이렇게 피곤해 보이시네요. 무슨 일 있으세요?
어젯밤에 잠을 좀 설쳤더니 그런가 봐요. 괜찮습니다.
그래도 너무 무리하지 마세요. 피곤하면 일의 능률도 안 오르잖아요. 잠시 쉬었다 하세요."
195,일반 대화,"이거 파일 형식이 달라서 열리지가 않네요. 어떻게 하죠?
제가 변환 프로그램으로 바꿔 드릴게요. 잠깐만요. 자, 이제 열릴 거예요.
와, 정말 감사합니다! 덕분에 살았어요. 역시 전문가 시네요."
196,일반 대화,"오늘 저녁에 시간 괜찮으면 같이 영화나 볼까?
좋아! 무슨 영화 볼까? 요즘 재밌는 거 많이 개봉했던데.
나는 액션 영화 보고 싶은데, 너는 어때? 싫으면 다른 거 봐도 괜찮아."
197,일반 대화,"이거 혼자 옮기기 힘들텐데, 제가 좀 도와드릴까요?
어머, 괜찮은데. 고맙습니다. 그럼 저쪽까지만 같이 옮겨주시면 정말 감사하겠습니다.
별말씀을요. 이웃끼리 돕고 살아야죠. 다 됐습니다!"
198,일반 대화,"오늘따라 길이 너무 조용하네요. 다들 휴가 갔나 봐요.
그러게요. 덕분에 출근길이 편해서 좋았어요. 매일 오늘만 같았으면 좋겠네요.
맞아요. 왠지 오늘 일도 잘 풀릴 것 같은 기분이에요."
199,일반 대화,"이거 제가 계산할게요. 지난번에 팀장님이 사셨잖아요.
에이, 뭘 이런 걸 다. 그럼 다음엔 김 대리가 사. 잘 먹을게.
네, 맛있게 드세요! 다음엔 제가 더 맛있는 거 사 드릴게요."
200,일반 대화,"요즘 새로 나온 드라마 봤어? 완전 내 스타일이야.
아, 그 배우 나오는 거? 나도 봤지. 연기도 잘하고 너무 멋있어.
그치? 다음 주까지 어떻게 기다리지? 빨리 다음 화 보고 싶다."
201,일반 대화,"이거 어떻게 하는지 알려줄 수 있어? 나 기계치라 잘 몰라서.
그럼요. 이 버튼 누르고, 여기서 원하는 거 선택하시면 돼요. 간단하죠?
아하, 그렇구나. 정말 고맙습니다. 친절하게 알려주셔서 감사해요."
202,일반 대화,"오늘따라 왜 이렇게 졸리지? 커피를 마셔도 잠이 안 깨네.
봄이라서 춘곤증인가 봐요. 점심 드시고 잠깐 산책이라도 하고 오세요. 훨씬 나아질 거예요.
그래야겠어요. 같이 가실래요? 혼자 가면 심심하잖아요."
203,일반 대화,"이 서류 좀 복사해줄 수 있어요? 제가 지금 손이 없어서요.
네, 그럼요. 몇 부 해드릴까요? 금방 해드릴게요.
5부만 부탁드려요. 정말 고마워요. 덕분에 살았어요."
204,일반 대화,"오늘 점심 메뉴가 뭐예요? 너무 배고파요.
오늘은 카레라이스랑 돈까스래요. 완전 맛있겠네요.
와, 대박! 제가 제일 좋아하는 메뉴예요. 빨리 점심시간 되면 좋겠어요."
205,일반 대화,"이거 무게가 꽤 나가는데, 혼자 들 수 있겠어요?
제가 도와드릴게요. 같이 들면 금방 옮길 수 있을 거예요. 하나, 둘, 셋!
감사합니다. 덕분에 쉽게 옮겼네요. 역시 힘이 장사시네요."
206,일반 대화,"오늘 회의는 몇 시에 시작하죠?
오후 3시에 시작합니다. 회의 자료는 미리 메일로 보내드렸으니 확인 부탁드립니다.
네, 알겠습니다. 미리 읽어보고 참석하도록 할게요. 고마워요."
207,일반 대화,"요즘 어떤 책 읽으세요? 재미있는 책 있으면 추천해주세요.
저는 요즘 ‘달러구트 꿈 백화점’이라는 소설 읽고 있어요. 내용이 따뜻하고 힐링 돼서 좋더라고요.
아, 그 책 유명하죠. 저도 한번 읽어봐야겠네요. 추천 감사합니다."
